player,team,number,position,height,weight,last_attended,country,birthdate,profile_url,is_active,is_free_agent,is_retired,experience,headshot_url,legacy,pid,position_list,position_primary,position_alt,draft_year,draft_round,draft_pick,draft_status,player_id
Michael Holton,RET,6,GUARD,76.0,185.0,UCLA,USA,1961-08-04,https://www.nba.com/player/77047/HISTADD-mike-holton,False,False,True,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77047.png,True,77047,['GUARD'],GUARD,,1983,1,53,Drafted,holtomi01
Dick Holub,RET,11,CENTER,78.0,205.0,Long Island-Brooklyn,USA,1921-10-29,https://www.nba.com/player/77048/HISTADD-dick-holub,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77048.png,True,77048,['CENTER'],CENTER,,1947,1,5,Drafted,holubdi01
Joe Holup,RET,9,FORWARD,78.0,215.0,George Washington,USA,1934-02-26,https://www.nba.com/player/77049/HISTADD-joe-holup,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77049.png,True,77049,['FORWARD'],FORWARD,,1956,1,5,Drafted,holupjo01
Red Holzman,RET,10,GUARD,70.0,175.0,City College of New York,USA,1920-08-10,https://www.nba.com/player/77050/HISTADD-red-holzman,False,False,True,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77050.png,True,77050,['GUARD'],GUARD,,0,0,0,UDF,holzmre01
Caleb Homesley,RET,,GUARD,78.0,205.0,Liberty,USA,1996-11-27,https://www.nba.com/player/1630258/caleb-homesley,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630258.png,False,1630258,['GUARD'],GUARD,,0,0,0,UDF,homesca01
Jerald Honeycutt,RET,25,FORWARD-GUARD,81.0,254.0,Tulane,USA,1974-10-20,https://www.nba.com/player/1532/jerald-honeycutt,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1532.png,False,1532,"['FORWARD', 'GUARD']",FORWARD,GUARD,1997,2,38,Drafted,honeyje01
Tyler Honeycutt,RET,,FORWARD,80.0,188.0,UCLA,USA,1990-07-15,https://www.nba.com/player/202715/tyler-honeycutt,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202715.png,False,202715,['FORWARD'],FORWARD,,2011,2,35,Drafted,honeyty01
Derek Hood,RET,55,FORWARD,80.0,222.0,Arkansas,USA,1976-12-22,https://www.nba.com/player/1967/derek-hood,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1967.png,False,1967,['FORWARD'],FORWARD,,0,0,0,UDF,hoodde010
Rodney Hood,RET,22,GUARD-FORWARD,80.0,208.0,Duke,USA,1992-10-20,https://www.nba.com/player/203918/rodney-hood,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203918.png,False,203918,"['GUARD', 'FORWARD']",GUARD,FORWARD,2014,1,23,Drafted,hoodro010
Jalen Hood-Schifino,PHI,17,GUARD,77.0,210.0,Indiana,USA,2003-06-19,https://www.nba.com/player/1641720/jalen-hood-schifino,True,False,False,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641720.png,False,1641720,['GUARD'],GUARD,,2023,1,17,Drafted,hoodsja01
Tom Hoover,RET,12,CENTER,81.0,230.0,Villanova,USA,1941-01-23,https://www.nba.com/player/77051/HISTADD-tom-hoover,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77051.png,True,77051,['CENTER'],CENTER,,1963,1,6,Drafted,hooveto01
Bob Hopkins,RET,9,CENTER,80.0,205.0,Grambling,USA,1934-11-03,https://www.nba.com/player/77052/HISTADD-bob-hopkins,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77052.png,True,77052,['CENTER'],CENTER,,1956,1,75,Drafted,hopkibo01
Dave Hoppen,RET,42,CENTER,83.0,235.0,Nebraska,USA,1964-03-13,https://www.nba.com/player/77053/HISTADD-dave-hoppen,False,False,True,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77053.png,True,77053,['CENTER'],CENTER,,1986,1,65,Drafted,hoppeda01
Dennis Hopson,RET,20,FORWARD,77.0,200.0,Ohio State,USA,1965-04-22,https://www.nba.com/player/77054/HISTADD-dennis-hopson,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77054.png,True,77054,['FORWARD'],FORWARD,,1987,1,3,Drafted,hopsode01
Scotty Hopson,RET,,GUARD-FORWARD,79.0,204.0,Tennessee,USA,1989-08-08,https://www.nba.com/player/203816/scotty-hopson,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203816.png,False,203816,"['GUARD', 'FORWARD']",GUARD,FORWARD,2011,0,0,Drafted,hopsosc01
Johnny Horan,RET,,FORWARD,80.0,190.0,Dayton,USA,1932-11-24,https://www.nba.com/player/77055/HISTADD-johnny-horan,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77055.png,True,77055,['FORWARD'],FORWARD,,1955,1,6,Drafted,horanjo01
Cedrick Hordges,RET,34,CENTER,80.0,220.0,South Carolina,USA,1957-01-08,https://www.nba.com/player/77056/HISTADD-cedrick-hordges,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77056.png,True,77056,['CENTER'],CENTER,,1979,1,49,Drafted,hordgce01
Al Horford,BOS,42,CENTER-FORWARD,81.0,240.0,Florida,Dominican Republic,1986-06-03,https://www.nba.com/player/201143/al-horford,True,False,False,17.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201143.png,False,201143,"['CENTER', 'FORWARD']",CENTER,FORWARD,2007,1,3,Drafted,horfoal01
Tito Horford,RET,42,CENTER,85.0,245.0,Miami,USA,1966-01-19,https://www.nba.com/player/77057/HISTADD-tito-horford,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77057.png,True,77057,['CENTER'],CENTER,,1988,1,39,Drafted,horfoti01
Ron Horn,RET,24,FORWARD,79.0,220.0,Indiana,USA,1938-05-24,https://www.nba.com/player/77058/HISTADD-ron-horn,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77058.png,True,77058,['FORWARD'],FORWARD,,1961,1,16,Drafted,hornro010
Jeff Hornacek,RET,14,GUARD,76.0,190.0,Iowa State,USA,1963-05-03,https://www.nba.com/player/204/jeff-hornacek,False,False,True,14.0,https://cdn.nba.com/headshots/nba/latest/1040x760/204.png,False,204,['GUARD'],GUARD,,1986,2,46,Drafted,hornaje01
Dennis Horner,RET,,FORWARD,81.0,230.0,North Carolina State,USA,1988-02-05,https://www.nba.com/player/202862/dennis-horner,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202862.png,False,202862,['FORWARD'],FORWARD,,0,0,0,UDF,hornede01
Robert Horry,RET,25,FORWARD-CENTER,82.0,240.0,Alabama,USA,1970-08-25,https://www.nba.com/player/109/robert-horry,False,False,True,17.0,https://cdn.nba.com/headshots/nba/latest/1040x760/109.png,False,109,"['FORWARD', 'CENTER']",FORWARD,CENTER,1992,1,11,Drafted,horryro01
Ed Horton,RET,32,CENTER,80.0,230.0,Iowa,USA,1967-12-17,https://www.nba.com/player/77060/HISTADD-ed-horton,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77060.png,True,77060,['CENTER'],CENTER,,1989,1,39,Drafted,hortoed01
Talen Horton-Tucker,CHI,22,GUARD,76.0,234.0,Iowa State,USA,2000-11-25,https://www.nba.com/player/1629659/talen-horton-tucker,True,False,False,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629659.png,False,1629659,['GUARD'],GUARD,,2019,2,46,Drafted,hortota01
Wilmer Hosket,RET,25,FORWARD,79.0,225.0,Ohio State,USA,1946-12-20,https://www.nba.com/player/77061/HISTADD-bill-hosket,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77061.png,True,77061,['FORWARD'],FORWARD,,1968,1,10,Drafted,hoskewi01
Bob Houbregs,RET,17,CENTER,80.0,210.0,Washington,USA,1932-03-12,https://www.nba.com/player/77062/HISTADD-houby-houbregs,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77062.png,True,77062,['CENTER'],CENTER,,1953,1,2,Drafted,houbrbo01
Eddie House,RET,55,GUARD,73.0,190.0,Arizona State,USA,1978-05-14,https://www.nba.com/player/2067/eddie-house,False,False,True,12.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2067.png,False,2067,['GUARD'],GUARD,,2000,2,37,Drafted,houseed01
Danuel House Jr.,RET,,FORWARD-GUARD,78.0,220.0,Texas A&M,USA,1993-06-07,https://www.nba.com/player/1627863/danuel-house,False,False,True,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627863.png,False,1627863,"['FORWARD', 'GUARD']",FORWARD,GUARD,0,0,0,UDF,houseda01
Caleb Houstan,ORL,2,GUARD,80.0,205.0,Michigan,Canada,2003-01-09,https://www.nba.com/player/1631216/caleb-houstan,True,False,False,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631216.png,False,1631216,['GUARD'],GUARD,,2022,2,32,Drafted,houstca01
Allan Houston,RET,,GUARD,78.0,205.0,Tennessee,USA,1971-04-20,https://www.nba.com/player/275/allan-houston,False,False,True,13.0,https://cdn.nba.com/headshots/nba/latest/1040x760/275.png,False,275,['GUARD'],GUARD,,1993,1,11,Drafted,houstal01
Byron Houston,RET,35,FORWARD,77.0,250.0,Oklahoma State,USA,1969-11-22,https://www.nba.com/player/780/byron-houston,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/780.png,False,780,['FORWARD'],FORWARD,,1992,1,27,Drafted,houstby01
Tom Hovasse,RET,17,FORWARD,80.0,205.0,Penn State,USA,1967-01-31,https://www.nba.com/player/77064/HISTADD-tom-hovasse,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77064.png,True,77064,['FORWARD'],FORWARD,,0,0,0,UDF,hovasto01
Brian Howard,RET,41,FORWARD,78.0,204.0,North Carolina State,USA,1967-10-19,https://www.nba.com/player/77065/HISTADD-brian-howard,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77065.png,True,77065,['FORWARD'],FORWARD,,0,0,0,UDF,howarbr01
Dwight Howard,RET,39,CENTER-FORWARD,82.0,265.0,SW Atlanta Christian Academy (GA),USA,1985-12-08,https://www.nba.com/player/2730/dwight-howard,False,False,True,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2730.png,False,2730,"['CENTER', 'FORWARD']",CENTER,FORWARD,2004,1,1,Drafted,howardw01
Greg Howard,RET,40,FORWARD,81.0,215.0,New Mexico,USA,1948-01-08,https://www.nba.com/player/77066/HISTADD-stretch-howard,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77066.png,True,77066,['FORWARD'],FORWARD,,1970,1,10,Drafted,howargr01
Jett Howard,ORL,13,GUARD,78.0,215.0,Michigan,USA,2003-09-14,https://www.nba.com/player/1641724/jett-howard,True,False,False,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641724.png,False,1641724,['GUARD'],GUARD,,2023,1,11,Drafted,howarje01
Josh Howard,RET,,FORWARD-GUARD,79.0,210.0,Wake Forest,USA,1980-04-28,https://www.nba.com/player/2572/josh-howard,False,False,True,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2572.png,False,2572,"['FORWARD', 'GUARD']",FORWARD,GUARD,2003,1,29,Drafted,howarjo01
Juwan Howard,RET,5,FORWARD,81.0,250.0,Michigan,USA,1973-02-07,https://www.nba.com/player/436/juwan-howard,False,False,True,20.0,https://cdn.nba.com/headshots/nba/latest/1040x760/436.png,False,436,['FORWARD'],FORWARD,,1994,1,5,Drafted,howarju01
Markus Howard,RET,00,GUARD,70.0,175.0,Marquette,USA,1999-03-03,https://www.nba.com/player/1630210/markus-howard,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630210.png,False,1630210,['GUARD'],GUARD,,0,0,0,UDF,howarma01
Mo Howard,RET,14,GUARD,74.0,170.0,Maryland,USA,1954-08-24,https://www.nba.com/player/77067/HISTADD-mo-howard,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77067.png,True,77067,['GUARD'],GUARD,,1976,1,32,Drafted,howarmo01
Otis Howard,RET,32,FORWARD,79.0,220.0,Austin Peay,USA,1956-11-05,https://www.nba.com/player/77069/HISTADD-otis-howard,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77069.png,True,77069,['FORWARD'],FORWARD,,1978,1,80,Drafted,howarot01
Stephen Howard,RET,,FORWARD,81.0,225.0,DePaul,USA,1970-07-15,https://www.nba.com/player/1128/stephen-howard,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1128.png,False,1128,['FORWARD'],FORWARD,,0,0,0,UDF,howarst01
William Howard,RET,52,FORWARD-GUARD,80.0,207.0,Limoges,France,1993-10-25,https://www.nba.com/player/1629739/william-howard,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629739.png,False,1629739,"['FORWARD', 'GUARD']",FORWARD,GUARD,0,0,0,UDF,howarwi01
Bailey Howell,RET,16,FORWARD,79.0,210.0,Mississippi State,USA,1937-01-20,https://www.nba.com/player/77070/HISTADD-bailey-howell,False,False,True,12.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77070.png,True,77070,['FORWARD'],FORWARD,,1959,1,2,Drafted,howelba01
Bob Hubbard,RET,,CENTER,78.0,215.0,Springfield,USA,1922-12-27,https://www.nba.com/player/77072/HISTADD-bob-hubbard,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77072.png,True,77072,['CENTER'],CENTER,,1947,1,,Drafted,hubbabo01
Phil Hubbard,RET,35,FORWARD,80.0,215.0,Michigan,USA,1956-12-13,https://www.nba.com/player/77071/HISTADD-phil-hubbard,False,False,True,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77071.png,True,77071,['FORWARD'],FORWARD,,1979,1,15,Drafted,hubbaph01
Trevor Hudgins,RET,12,GUARD,72.0,180.0,Northwest Missouri St.,USA,1999-03-23,https://www.nba.com/player/1631309/trevor-hudgins,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631309.png,False,1631309,['GUARD'],GUARD,,0,0,0,UDF,hudgitr01
Lester Hudson,RET,14,GUARD,75.0,190.0,Tennessee-Martin,USA,1984-08-07,https://www.nba.com/player/201991/lester-hudson,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201991.png,False,201991,['GUARD'],GUARD,,2009,2,58,Drafted,hudsole01
Lou Hudson,RET,23,FORWARD,77.0,210.0,Minnesota,USA,1944-07-11,https://www.nba.com/player/77074/HISTADD-lou-hudson,False,False,True,13.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77074.png,True,77074,['FORWARD'],FORWARD,,1966,1,4,Drafted,hudsolo01
Troy Hudson,RET,,GUARD,73.0,178.0,Southern Illinois,USA,1976-03-13,https://www.nba.com/player/1607/troy-hudson,False,False,True,11.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1607.png,False,1607,['GUARD'],GUARD,,0,0,0,UDF,hudsotr01
Marcelo Huertas,RET,,GUARD,75.0,200.0,FC Barcelona,Brazil,1983-05-25,https://www.nba.com/player/1626273/marcelo-huertas,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626273.png,False,1626273,['GUARD'],GUARD,,0,0,0,UDF,huertma01
Kevin Huerter,CHI,13,GUARD-FORWARD,79.0,198.0,Maryland,USA,1998-08-27,https://www.nba.com/player/1628989/kevin-huerter,True,False,False,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628989.png,False,1628989,"['GUARD', 'FORWARD']",GUARD,FORWARD,2018,1,19,Drafted,huertke01
Josh Huestis,RET,34,GUARD,79.0,230.0,Stanford,USA,1991-12-19,https://www.nba.com/player/203962/josh-huestis,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203962.png,False,203962,['GUARD'],GUARD,,2014,1,29,Drafted,huestjo01
Jay Huff,MEM,30,CENTER,85.0,240.0,Virginia,USA,1997-08-25,https://www.nba.com/player/1630643/jay-huff,True,False,False,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630643.png,False,1630643,['CENTER'],CENTER,,0,0,0,UDF,huffja010
Nate Huffman,RET,7,CENTER,85.0,245.0,Central Michigan,USA,1975-04-02,https://www.nba.com/player/1572/nate-huffman,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1572.png,False,1572,['CENTER'],CENTER,,0,0,0,UDF,huffmna01
Alfredrick Hughes,RET,6,FORWARD,77.0,215.0,Loyola-Chicago,USA,1962-07-19,https://www.nba.com/player/77076/HISTADD-alfredrick-hughes,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77076.png,True,77076,['FORWARD'],FORWARD,,1985,1,14,Drafted,hugheal01
Eddie Hughes,RET,1,GUARD,70.0,165.0,Colorado State,USA,1960-05-26,https://www.nba.com/player/77077/HISTADD-eddie-hughes,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77077.png,True,77077,['GUARD'],GUARD,,1982,1,140,Drafted,hugheed01
Elijah Hughes,RET,19,GUARD,77.0,215.0,Syracuse,USA,1998-03-10,https://www.nba.com/player/1630190/elijah-hughes,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630190.png,False,1630190,['GUARD'],GUARD,,2020,2,39,Drafted,hugheel01
Kim Hughes,RET,3-12-44,CENTER,83.0,220.0,Wisconsin,USA,1952-06-04,https://www.nba.com/player/77078/HISTADD-dupp-kim-hughes,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77078.png,True,77078,['CENTER'],CENTER,,1974,1,45,Drafted,hugheki01
Larry Hughes,RET,,GUARD,77.0,185.0,St. Louis,USA,1979-01-23,https://www.nba.com/player/1716/larry-hughes,False,False,True,13.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1716.png,False,1716,['GUARD'],GUARD,,1998,1,8,Drafted,hughela01
Rick Hughes,RET,,FORWARD,81.0,235.0,Thomas More,USA,1973-08-22,https://www.nba.com/player/1965/rick-hughes,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1965.png,False,1965,['FORWARD'],FORWARD,,0,0,0,UDF,hugheri01
Ariel Hukporti,NYK,55,CENTER,83.0,246.0,MHP Riesen,Germany,2002-04-12,https://www.nba.com/player/1630574/ariel-hukporti,True,False,False,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630574.png,False,1630574,['CENTER'],CENTER,,2024,2,58,Drafted,hukpoar01
Robbie Hummel,RET,4,FORWARD,81.0,219.0,Purdue,USA,1989-03-08,https://www.nba.com/player/203133/robbie-hummel,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203133.png,False,203133,['FORWARD'],FORWARD,,2012,2,58,Drafted,hummero01
John Hummer,RET,42,FORWARD,81.0,230.0,Princeton,USA,1948-05-04,https://www.nba.com/player/77080/HISTADD-john-hummer,False,False,True,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77080.png,True,77080,['FORWARD'],FORWARD,,1970,1,15,Drafted,hummejo01
Ryan Humphrey,RET,,FORWARD,80.0,235.0,Notre Dame,USA,1979-07-24,https://www.nba.com/player/2415/ryan-humphrey,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2415.png,False,2415,['FORWARD'],FORWARD,,2002,1,19,Drafted,humphry01
Isaac Humphries,RET,8,CENTER,84.0,260.0,Kentucky,Australia,1998-01-05,https://www.nba.com/player/1629353/isaac-humphries,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629353.png,False,1629353,['CENTER'],CENTER,,2017,1,,Drafted,humphis01
Jay Humphries,RET,5,GUARD,75.0,185.0,Colorado,USA,1962-10-17,https://www.nba.com/player/77081/HISTADD-jay-humphries,False,False,True,11.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77081.png,True,77081,['GUARD'],GUARD,,1984,1,13,Drafted,humphja01
Kris Humphries,RET,43,FORWARD,81.0,235.0,Minnesota,USA,1985-02-06,https://www.nba.com/player/2743/kris-humphries,False,False,True,14.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2743.png,False,2743,['FORWARD'],FORWARD,,2004,1,14,Drafted,humphkr01
Rod Hundley,RET,33,GUARD,76.0,185.0,West Virginia,USA,1934-10-26,https://www.nba.com/player/77082/HISTADD-rod-hundley,False,False,True,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77082.png,True,77082,['GUARD'],GUARD,,1957,1,1,Drafted,hundlro01
Feron Hunt,RET,11,FORWARD,80.0,195.0,Southern Methodist,USA,1999-07-05,https://www.nba.com/player/1630624/feron-hunt,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630624.png,False,1630624,['FORWARD'],FORWARD,,0,0,0,UDF,huntfe010
Brandon Hunter,RET,34,FORWARD,79.0,266.0,Ohio,USA,1980-11-24,https://www.nba.com/player/2599/brandon-hunter,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2599.png,False,2599,['FORWARD'],FORWARD,,2003,2,56,Drafted,huntebr01
Cedric Hunter,RET,15,FORWARD,72.0,180.0,Kansas,USA,1965-01-16,https://www.nba.com/player/77083/HISTADD-cedric-hunter,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77083.png,True,77083,['FORWARD'],FORWARD,,0,0,0,UDF,huntece01
Chris Hunter,RET,31,CENTER-FORWARD,83.0,240.0,Michigan,USA,1984-07-09,https://www.nba.com/player/201805/chris-hunter,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201805.png,False,201805,"['CENTER', 'FORWARD']",CENTER,FORWARD,0,0,0,UDF,huntech01
De'Andre Hunter,CLE,12,FORWARD-GUARD,80.0,221.0,Virginia,USA,1997-12-02,https://www.nba.com/player/1629631/deandre-hunter,True,False,False,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629631.png,False,1629631,"['FORWARD', 'GUARD']",FORWARD,GUARD,2019,1,4,Drafted,huntede01
Les Hunter,RET,41,FORWARD,79.0,210.0,Loyola-Chicago,USA,1942-08-16,https://www.nba.com/player/77084/HISTADD-les-hunter,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77084.png,True,77084,['FORWARD'],FORWARD,,1964,1,9,Drafted,huntele01
Lindsey Hunter,RET,,GUARD,74.0,195.0,Jackson State,USA,1970-12-03,https://www.nba.com/player/283/lindsey-hunter,False,False,True,17.0,https://cdn.nba.com/headshots/nba/latest/1040x760/283.png,False,283,['GUARD'],GUARD,,1993,1,10,Drafted,hunteli01
Othello Hunter,RET,,NAN,,,Ohio State,USA,1986-05-28,https://www.nba.com/player/201629/othello-hunter,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201629.png,False,201629,['NAN'],NAN,,0,0,0,UDF,hunteot01
RJ Hunter,RET,28,GUARD,77.0,185.0,Georgia State,USA,1993-10-24,https://www.nba.com/player/1626154/rj-hunter,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626154.png,False,1626154,['GUARD'],GUARD,,2015,1,28,Drafted,hunterj01
Steven Hunter,RET,45,CENTER,84.0,240.0,DePaul,USA,1981-10-31,https://www.nba.com/player/2212/steven-hunter,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2212.png,False,2212,['CENTER'],CENTER,,2001,1,15,Drafted,huntest01
Vincent Hunter,RET,,FORWARD,80.0,208.0,Texas-El Paso,USA,1994-08-05,https://www.nba.com/player/1626205/vincent-hunter,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626205.png,False,1626205,['FORWARD'],FORWARD,,0,0,0,UDF,huntevi01
Bobby Hurley,RET,12,GUARD,72.0,165.0,Duke,USA,1971-06-28,https://www.nba.com/player/310/bobby-hurley,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/310.png,False,310,['GUARD'],GUARD,,1993,1,7,Drafted,hurlebo01
Roy Hurley,RET,,FORWARD,74.0,170.0,Murray State,USA,1922-08-12,https://www.nba.com/player/77086/HISTADD-roy-hurley,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77086.png,True,77086,['FORWARD'],FORWARD,,0,0,0,UDF,hurlero01
Matt Hurt,RET,,FORWARD,81.0,233.0,Duke,USA,2000-04-20,https://www.nba.com/player/1630562/matt-hurt,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630562.png,False,1630562,['FORWARD'],FORWARD,,0,0,0,UDF,hurtma010
Geoff Huston,RET,15,GUARD,74.0,175.0,Texas Tech,USA,1957-11-08,https://www.nba.com/player/77087/HISTADD-geoff-huston,False,False,True,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77087.png,True,77087,['GUARD'],GUARD,,1979,1,50,Drafted,hustoge01
Paul Huston,RET,,FORWARD,75.0,175.0,Ohio State,USA,1925-06-02,https://www.nba.com/player/77088/HISTADD-shad-huston,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77088.png,True,77088,['FORWARD'],FORWARD,,1947,1,8,Drafted,hustopa01
Mel Hutchins,RET,10,FORWARD,78.0,200.0,Brigham Young,USA,1928-11-22,https://www.nba.com/player/77089/HISTADD-mel-hutchins,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77089.png,True,77089,['FORWARD'],FORWARD,,1951,1,2,Drafted,hutchme01
Chandler Hutchison,RET,,FORWARD-GUARD,78.0,210.0,Boise State,USA,1996-04-26,https://www.nba.com/player/1628990/chandler-hutchison,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628990.png,False,1628990,"['FORWARD', 'GUARD']",FORWARD,GUARD,2018,1,22,Drafted,hutchch01
Joe Hutton,RET,4-15,GUARD,73.0,170.0,Hamline,USA,1928-10-06,https://www.nba.com/player/77090/HISTADD-joe-hutton,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77090.png,True,77090,['GUARD'],GUARD,,1950,1,,Drafted,huttojo01
Greg Hyder,RET,16,FORWARD,78.0,215.0,Eastern New Mexico,USA,1948-06-21,https://www.nba.com/player/77091/HISTADD-greg-hyder,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77091.png,True,77091,['FORWARD'],FORWARD,,1970,1,39,Drafted,hydergr01
Bones Hyland,MIN,77,GUARD,74.0,169.0,Virginia Commonwealth,USA,2000-09-14,https://www.nba.com/player/1630538/nahshon-hyland,True,False,False,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630538.png,False,1630538,['GUARD'],GUARD,,2021,1,26,Drafted,hylanbo01
Marc Iavaroni,RET,43,FORWARD,82.0,210.0,Virginia,USA,1956-09-15,https://www.nba.com/player/77092/HISTADD-marc-iavaroni,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77092.png,True,77092,['FORWARD'],FORWARD,,1978,1,55,Drafted,iavarma01
Serge Ibaka,RET,,FORWARD,83.0,235.0,Ricoh Manresa,Democratic Republic of the Congo,1989-09-18,https://www.nba.com/player/201586/serge-ibaka,False,False,True,14.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201586.png,False,201586,['FORWARD'],FORWARD,,2008,1,24,Drafted,ibakase01
Oso Ighodaro,PHX,4,FORWARD,84.0,235.0,Marquette,USA,2002-07-14,https://www.nba.com/player/1642345/oso-ighodaro,True,False,False,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642345.png,False,1642345,['FORWARD'],FORWARD,,2024,2,40,Drafted,ighodos01
